timestamp,good_parts,bad_parts,fault
1.48852450503374,1,0,
3.15642455522512,1,0,
4.72472233635667,1,0,
5.90773424507977,1,0,
7.2635877357092,1,0,
10,0,0,4
14.7317100919932,1,0,
15.8346362361206,1,0,
19.1721285384628,1,0,
22.7022242078068,1,0,
31.7590249815418,1,0,
33.3657174182425,1,0,
36.3558547828583,1,0,
38.2230312375541,1,0,
40.0432266993779,1,0,
41.670981108572,1,0,
44.826465063802,1,0,
47.0403960285639,1,0,
48.3589200094821,1,0,
49.8211595613172,1,0,
55.1543604651769,1,0,
56.5796088599289,1,0,
58.5259568117637,1,0,
59.9418861486377,1,0,
61.3533190945935,1,0,
62.4177396524817,1,0,
63.8011275658135,1,0,
64.8643332477165,1,0,
66.1944396577218,1,0,
67.5772127586553,1,0,
68.8221910463449,1,0,
70.9197305672359,1,0,
72.3432789196483,1,0,
73.9183017419173,1,0,
75.1502969418317,1,0,
79.3319525698097,1,0,
80,0,0,7.6
87.6127977730621,1,0,
88.8980943556285,1,0,
91.2446868757599,1,0,
92.6012634227598,1,0,
93.7457967129241,1,0,
96.7389630492791,1,0,
97.9937062096088,1,0,
99.2786315828305,1,0,
100.534265589932,1,0,
101.673265022423,1,0,
103.07063483838,1,0,
104.617505999364,1,0,
105.84957932767,1,0,
106.996881663115,1,0,
108.345980269477,1,0,
111.301680388416,1,0,
112.469663876288,1,0,
113.594264529133,1,0,
115.967193364807,1,0,
